movieId,rating_count,percentage
109,1,7e-05
130,1,7e-05
133,1,7e-05
143,1,7e-05
284,1,7e-05
403,1,7e-05
530,1,7e-05
560,1,7e-05
604,1,7e-05
625,1,7e-05
636,1,7e-05
642,1,7e-05
643,1,7e-05
644,1,7e-05
654,1,7e-05
721,1,7e-05
739,1,7e-05
770,1,7e-05
812,1,7e-05
826,1,7e-05
859,1,7e-05
878,1,7e-05
887,1,7e-05
979,1,7e-05
1065,1,7e-05
1109,1,7e-05
1115,1,7e-05
1146,1,7e-05
1165,1,7e-05
1424,1,7e-05
1448,1,7e-05
1510,1,7e-05
1524,1,7e-05
1548,1,7e-05
1557,1,7e-05
1561,1,7e-05
1622,1,7e-05
1697,1,7e-05
1706,1,7e-05
1714,1,7e-05
1716,1,7e-05
1724,1,7e-05
1742,1,7e-05
1765,1,7e-05
1768,1,7e-05
1787,1,7e-05
1796,1,7e-05
1815,1,7e-05
1819,1,7e-05
1832,1,7e-05
1842,1,7e-05
1843,1,7e-05
1851,1,7e-05
1852,1,7e-05
1871,1,7e-05
1872,1,7e-05
2127,1,7e-05
2192,1,7e-05
2213,1,7e-05
2215,1,7e-05
2224,1,7e-05
2277,1,7e-05
2317,1,7e-05
2484,1,7e-05
2508,1,7e-05
2547,1,7e-05
2576,1,7e-05
2584,1,7e-05
2592,1,7e-05
2595,1,7e-05
2603,1,7e-05
2604,1,7e-05
2608,1,7e-05
2631,1,7e-05
2698,1,7e-05
2742,1,7e-05
2821,1,7e-05
2823,1,7e-05
2869,1,7e-05
2909,1,7e-05
2934,1,7e-05
2954,1,7e-05
3023,1,7e-05
3065,1,7e-05
3084,1,7e-05
3166,1,7e-05
3209,1,7e-05
3226,1,7e-05
3227,1,7e-05
3279,1,7e-05
3290,1,7e-05
3314,1,7e-05
3336,1,7e-05
3353,1,7e-05
3369,1,7e-05
3380,1,7e-05
3381,1,7e-05
3419,1,7e-05
3458,1,7e-05
3542,1,7e-05
3589,1,7e-05
3603,1,7e-05
3607,1,7e-05
3642,1,7e-05
3748,1,7e-05
3772,1,7e-05
3803,1,7e-05
3818,1,7e-05
3853,1,7e-05
3878,1,7e-05
3954,1,7e-05
3995,1,7e-05
4004,1,7e-05
4057,1,7e-05
4088,1,7e-05
4107,1,7e-05
4114,1,7e-05
4134,1,7e-05
4136,1,7e-05
4172,1,7e-05
4173,1,7e-05
4230,1,7e-05
4260,1,7e-05
4261,1,7e-05
4309,1,7e-05
4311,1,7e-05
4346,1,7e-05
4358,1,7e-05
4364,1,7e-05
4365,1,7e-05
4377,1,7e-05
4418,1,7e-05
4421,1,7e-05
4455,1,7e-05
4460,1,7e-05
4491,1,7e-05
4530,1,7e-05
4554,1,7e-05
4556,1,7e-05
4592,1,7e-05
4604,1,7e-05
4656,1,7e-05
4667,1,7e-05
4694,1,7e-05
4747,1,7e-05
4832,1,7e-05
4851,1,7e-05
4858,1,7e-05
4859,1,7e-05
4883,1,7e-05
4891,1,7e-05
4904,1,7e-05
4931,1,7e-05
4935,1,7e-05
5018,1,7e-05
5031,1,7e-05
5057,1,7e-05
5084,1,7e-05
5089,1,7e-05
5115,1,7e-05
5130,1,7e-05
5132,1,7e-05
5144,1,7e-05
5150,1,7e-05
5154,1,7e-05
5155,1,7e-05
5156,1,7e-05
5175,1,7e-05
5194,1,7e-05
5200,1,7e-05
5201,1,7e-05
5260,1,7e-05
5261,1,7e-05
5280,1,7e-05
5338,1,7e-05
5345,1,7e-05
5366,1,7e-05
5371,1,7e-05
5402,1,7e-05
5407,1,7e-05
5487,1,7e-05
5520,1,7e-05
5536,1,7e-05
5554,1,7e-05
5558,1,7e-05
5616,1,7e-05
5631,1,7e-05
5634,1,7e-05
5681,1,7e-05
5683,1,7e-05
5698,1,7e-05
5704,1,7e-05
5714,1,7e-05
5718,1,7e-05
5728,1,7e-05
5750,1,7e-05
5776,1,7e-05
5793,1,7e-05
5827,1,7e-05
5846,1,7e-05
5848,1,7e-05
5849,1,7e-05
5857,1,7e-05
5860,1,7e-05
5861,1,7e-05
5870,1,7e-05
5880,1,7e-05
5892,1,7e-05
5904,1,7e-05
5918,1,7e-05
5920,1,7e-05
5930,1,7e-05
5950,1,7e-05
5964,1,7e-05
5973,1,7e-05
5976,1,7e-05
5978,1,7e-05
5982,1,7e-05
6007,1,7e-05
6019,1,7e-05
6038,1,7e-05
6043,1,7e-05
6046,1,7e-05
6048,1,7e-05
6068,1,7e-05
6079,1,7e-05
6080,1,7e-05
6088,1,7e-05
6098,1,7e-05
6103,1,7e-05
6106,1,7e-05
6112,1,7e-05
6137,1,7e-05
6139,1,7e-05
6145,1,7e-05
6147,1,7e-05
6149,1,7e-05
6167,1,7e-05
6171,1,7e-05
6172,1,7e-05
6174,1,7e-05
6175,1,7e-05
6177,1,7e-05
6191,1,7e-05
6200,1,7e-05
6224,1,7e-05
6227,1,7e-05
6256,1,7e-05
6262,1,7e-05
6275,1,7e-05
6278,1,7e-05
6292,1,7e-05
6302,1,7e-05
6309,1,7e-05
6384,1,7e-05
6415,1,7e-05
6431,1,7e-05
6435,1,7e-05
6443,1,7e-05
6473,1,7e-05
6479,1,7e-05
6487,1,7e-05
6553,1,7e-05
6570,1,7e-05
6588,1,7e-05
6590,1,7e-05
6600,1,7e-05
6601,1,7e-05
6605,1,7e-05
6634,1,7e-05
6640,1,7e-05
6647,1,7e-05
6661,1,7e-05
6673,1,7e-05
6676,1,7e-05
6693,1,7e-05
6698,1,7e-05
6706,1,7e-05
6712,1,7e-05
6716,1,7e-05
6728,1,7e-05
6737,1,7e-05
6740,1,7e-05
6742,1,7e-05
6759,1,7e-05
6824,1,7e-05
6830,1,7e-05
6836,1,7e-05
6855,1,7e-05
6876,1,7e-05
6901,1,7e-05
6905,1,7e-05
6907,1,7e-05
6917,1,7e-05
6919,1,7e-05
6937,1,7e-05
6956,1,7e-05
7098,1,7e-05
7100,1,7e-05
7105,1,7e-05
7109,1,7e-05
7125,1,7e-05
7133,1,7e-05
7138,1,7e-05
7159,1,7e-05
7185,1,7e-05
7188,1,7e-05
7203,1,7e-05
7214,1,7e-05
7224,1,7e-05
7248,1,7e-05
7264,1,7e-05
7270,1,7e-05
7279,1,7e-05
7291,1,7e-05
7295,1,7e-05
7298,1,7e-05
7322,1,7e-05
7329,1,7e-05
7330,1,7e-05
7341,1,7e-05
7351,1,7e-05
7356,1,7e-05
7397,1,7e-05
7398,1,7e-05
7399,1,7e-05
7403,1,7e-05
7408,1,7e-05
7411,1,7e-05
7412,1,7e-05
7413,1,7e-05
7521,1,7e-05
7528,1,7e-05
7567,1,7e-05
7622,1,7e-05
7623,1,7e-05
7699,1,7e-05
7719,1,7e-05
7726,1,7e-05
7739,1,7e-05
7750,1,7e-05
7751,1,7e-05
7752,1,7e-05
7758,1,7e-05
7821,1,7e-05
7828,1,7e-05
7872,1,7e-05
7912,1,7e-05
7931,1,7e-05
7935,1,7e-05
7954,1,7e-05
7958,1,7e-05
7995,1,7e-05
8009,1,7e-05
8041,1,7e-05
8055,1,7e-05
8068,1,7e-05
8070,1,7e-05
8120,1,7e-05
8137,1,7e-05
8141,1,7e-05
8148,1,7e-05
8187,1,7e-05
8203,1,7e-05
8237,1,7e-05
8255,1,7e-05
8269,1,7e-05
8293,1,7e-05
8294,1,7e-05
8329,1,7e-05
8402,1,7e-05
8403,1,7e-05
8411,1,7e-05
8420,1,7e-05
8444,1,7e-05
8450,1,7e-05
8452,1,7e-05
8461,1,7e-05
8465,1,7e-05
8488,1,7e-05
8500,1,7e-05
8504,1,7e-05
8536,1,7e-05
8597,1,7e-05
8606,1,7e-05
8613,1,7e-05
8619,1,7e-05
8628,1,7e-05
8635,1,7e-05
8659,1,7e-05
8663,1,7e-05
8669,1,7e-05
8673,1,7e-05
8678,1,7e-05
8691,1,7e-05
8693,1,7e-05
8697,1,7e-05
8702,1,7e-05
8706,1,7e-05
8715,1,7e-05
8716,1,7e-05
8734,1,7e-05
8736,1,7e-05
8741,1,7e-05
8745,1,7e-05
8748,1,7e-05
8758,1,7e-05
