userId,rating_count,percentage
51,20,0.00133
129,20,0.00133
170,20,0.00133
182,20,0.00133
200,20,0.00133
241,20,0.00133
274,20,0.00133
283,20,0.00133
289,20,0.00133
291,20,0.00133
298,20,0.00133
349,20,0.00133
353,20,0.00133
365,20,0.00133
383,20,0.00133
393,20,0.00133
415,20,0.00133
452,20,0.00133
467,20,0.00133
470,20,0.00133
524,20,0.00133
555,20,0.00133
586,20,0.00133
602,20,0.00133
753,20,0.00133
758,20,0.00133
776,20,0.00133
809,20,0.00133
816,20,0.00133
852,20,0.00133
869,20,0.00133
937,20,0.00133
991,20,0.00133
998,20,0.00133
1003,20,0.00133
1027,20,0.00133
1063,20,0.00133
1077,20,0.00133
1104,20,0.00133
1110,20,0.00133
1113,20,0.00133
1225,20,0.00133
1251,20,0.00133
1267,20,0.00133
1302,20,0.00133
1420,20,0.00133
1445,20,0.00133
1450,20,0.00133
1517,20,0.00133
1656,20,0.00133
1670,20,0.00133
1690,20,0.00133
1700,20,0.00133
1703,20,0.00133
1715,20,0.00133
1784,20,0.00133
1810,20,0.00133
1818,20,0.00133
1821,20,0.00133
1834,20,0.00133
1841,20,0.00133
1898,20,0.00133
1912,20,0.00133
1933,20,0.00133
1969,20,0.00133
2024,20,0.00133
2027,20,0.00133
2037,20,0.00133
2070,20,0.00133
2072,20,0.00133
2078,20,0.00133
2110,20,0.00133
2118,20,0.00133
2182,20,0.00133
2239,20,0.00133
2304,20,0.00133
2328,20,0.00133
2361,20,0.00133
2467,20,0.00133
2471,20,0.00133
2475,20,0.00133
2477,20,0.00133
2491,20,0.00133
2520,20,0.00133
2530,20,0.00133
2572,20,0.00133
2603,20,0.00133
2611,20,0.00133
2633,20,0.00133
2635,20,0.00133
2698,20,0.00133
2712,20,0.00133
2732,20,0.00133
2736,20,0.00133
2823,20,0.00133
2863,20,0.00133
2983,20,0.00133
3008,20,0.00133
3017,20,0.00133
3045,20,0.00133
3060,20,0.00133
3077,20,0.00133
3091,20,0.00133
3106,20,0.00133
3197,20,0.00133
3220,20,0.00133
3254,20,0.00133
3292,20,0.00133
3305,20,0.00133
3325,20,0.00133
3333,20,0.00133
3398,20,0.00133
3570,20,0.00133
3589,20,0.00133
3599,20,0.00133
3614,20,0.00133
3639,20,0.00133
3642,20,0.00133
3646,20,0.00133
3676,20,0.00133
3724,20,0.00133
3816,20,0.00133
3893,20,0.00133
3931,20,0.00133
3947,20,0.00133
3995,20,0.00133
4000,20,0.00133
4101,20,0.00133
4131,20,0.00133
4143,20,0.00133
4236,20,0.00133
4249,20,0.00133
4265,20,0.00133
4309,20,0.00133
4357,20,0.00133
4378,20,0.00133
4462,20,0.00133
4612,20,0.00133
4621,20,0.00133
4655,20,0.00133
4665,20,0.00133
4667,20,0.00133
4766,20,0.00133
4779,20,0.00133
4855,20,0.00133
4870,20,0.00133
4874,20,0.00133
4875,20,0.00133
4877,20,0.00133
4879,20,0.00133
4880,20,0.00133
4889,20,0.00133
4895,20,0.00133
4917,20,0.00133
4995,20,0.00133
5048,20,0.00133
5050,20,0.00133
5076,20,0.00133
5086,20,0.00133
5096,20,0.00133
5155,20,0.00133
5162,20,0.00133
5223,20,0.00133
5261,20,0.00133
5315,20,0.00133
5325,20,0.00133
5363,20,0.00133
5386,20,0.00133
5457,20,0.00133
5512,20,0.00133
5538,20,0.00133
5539,20,0.00133
5561,20,0.00133
5564,20,0.00133
5584,20,0.00133
5586,20,0.00133
5598,20,0.00133
5609,20,0.00133
5649,20,0.00133
5718,20,0.00133
5720,20,0.00133
5732,20,0.00133
5733,20,0.00133
5773,20,0.00133
5825,20,0.00133
5868,20,0.00133
5869,20,0.00133
5876,20,0.00133
5888,20,0.00133
5923,20,0.00133
5998,20,0.00133
6054,20,0.00133
6056,20,0.00133
6057,20,0.00133
6080,20,0.00133
6105,20,0.00133
6112,20,0.00133
6144,20,0.00133
6194,20,0.00133
6231,20,0.00133
6265,20,0.00133
6269,20,0.00133
6282,20,0.00133
6298,20,0.00133
6340,20,0.00133
6402,20,0.00133
6442,20,0.00133
6561,20,0.00133
6611,20,0.00133
6788,20,0.00133
6791,20,0.00133
6802,20,0.00133
6823,20,0.00133
6835,20,0.00133
6865,20,0.00133
6872,20,0.00133
6899,20,0.00133
6941,20,0.00133
6947,20,0.00133
6971,20,0.00133
7078,20,0.00133
7087,20,0.00133
7115,20,0.00133
7159,20,0.00133
7204,20,0.00133
7209,20,0.00133
7234,20,0.00133
7254,20,0.00133
7307,20,0.00133
7325,20,0.00133
7331,20,0.00133
7425,20,0.00133
7429,20,0.00133
7436,20,0.00133
7516,20,0.00133
7562,20,0.00133
7572,20,0.00133
7610,20,0.00133
7694,20,0.00133
7730,20,0.00133
7837,20,0.00133
7862,20,0.00133
7882,20,0.00133
7894,20,0.00133
7900,20,0.00133
7936,20,0.00133
8038,20,0.00133
8101,20,0.00133
8118,20,0.00133
8126,20,0.00133
8193,20,0.00133
8197,20,0.00133
8203,20,0.00133
8246,20,0.00133
8290,20,0.00133
8359,20,0.00133
8362,20,0.00133
8389,20,0.00133
8418,20,0.00133
8448,20,0.00133
8513,20,0.00133
8562,20,0.00133
8563,20,0.00133
8613,20,0.00133
8626,20,0.00133
8658,20,0.00133
8731,20,0.00133
8740,20,0.00133
8772,20,0.00133
8778,20,0.00133
8853,20,0.00133
8862,20,0.00133
8891,20,0.00133
8909,20,0.00133
8928,20,0.00133
8943,20,0.00133
9005,20,0.00133
9007,20,0.00133
9025,20,0.00133
9032,20,0.00133
9038,20,0.00133
9054,20,0.00133
9088,20,0.00133
9152,20,0.00133
9262,20,0.00133
9275,20,0.00133
9302,20,0.00133
9310,20,0.00133
9419,20,0.00133
9425,20,0.00133
9441,20,0.00133
9447,20,0.00133
9490,20,0.00133
9495,20,0.00133
9523,20,0.00133
9550,20,0.00133
9555,20,0.00133
9589,20,0.00133
9599,20,0.00133
9661,20,0.00133
9702,20,0.00133
9793,20,0.00133
9795,20,0.00133
9859,20,0.00133
9864,20,0.00133
9884,20,0.00133
9907,20,0.00133
9918,20,0.00133
9920,20,0.00133
9929,20,0.00133
9973,20,0.00133
9990,20,0.00133
10021,20,0.00133
88,21,0.0014
140,21,0.0014
173,21,0.0014
194,21,0.0014
346,21,0.0014
363,21,0.0014
463,21,0.0014
492,21,0.0014
603,21,0.0014
629,21,0.0014
728,21,0.0014
782,21,0.0014
820,21,0.0014
921,21,0.0014
941,21,0.0014
1029,21,0.0014
1054,21,0.0014
1073,21,0.0014
1306,21,0.0014
1310,21,0.0014
1341,21,0.0014
1375,21,0.0014
1410,21,0.0014
1434,21,0.0014
1435,21,0.0014
1462,21,0.0014
1514,21,0.0014
1601,21,0.0014
1753,21,0.0014
1789,21,0.0014
1794,21,0.0014
